Processes,Size,Latency
2,2,34.20
2,4,33.50
2,8,33.83
2,16,34.59
2,32,36.60
2,64,36.14
2,128,73.72
2,256,78.68
2,512,79.50
2,1024,88.49
2,2048,122.96
2,4096,162.11
2,8192,243.03
2,16384,464.32
2,32768,876.40
2,65536,1793.59
2,131072,3689.79
2,262144,8145.94
2,524288,16366.92
2,1048576,21484.65
4,2,33.84
4,4,34.28
4,8,34.65
4,16,34.98
4,32,36.50
4,64,36.59
4,128,73.87
4,256,78.55
4,512,79.80
4,1024,88.31
4,2048,122.83
4,4096,161.91
4,8192,243.23
4,16384,464.24
4,32768,875.05
4,65536,1785.34
4,131072,3679.70
4,262144,8510.01
