Processes,Size,Latency
2,2,38.03
2,4,38.60
2,8,38.75
2,16,39.14
2,32,39.92
2,64,40.85
2,128,78.18
2,256,83.15
2,512,83.73
2,1024,89.70
2,2048,131.76
2,4096,166.65
2,8192,244.11
2,16384,135.23
2,32768,243.92
2,65536,418.86
2,131072,1139.40
2,262144,2439.46
2,524288,5249.32
2,1048576,13304.87
4,2,38.40
4,4,38.70
4,8,38.51
4,16,39.58
4,32,40.00
4,64,40.19
4,128,79.14
4,256,83.84
4,512,83.88
4,1024,90.25
4,2048,132.20
4,4096,166.97
4,8192,243.95
4,16384,134.16
4,32768,240.00
4,65536,522.88
4,131072,1120.26
4,262144,2452.15
4,524288,5512.55
4,1048576,13161.29
8,2,39.34
8,4,38.58
8,8,38.15
8,16,39.13
8,32,40.17
8,64,40.57
8,128,79.37
8,256,83.64
8,512,83.11
8,1024,90.34
8,2048,130.75
8,4096,166.27
8,8192,243.79
8,16384,134.58
8,32768,244.26
8,65536,525.59
8,131072,1111.87
8,262144,2384.94
8,524288,5376.53
8,1048576,13570.73
16,2,39.02
16,4,39.13
16,8,38.47
16,16,39.94
16,32,40.09
16,64,40.74
16,128,79.29
16,256,83.87
16,512,83.91
16,1024,89.79
16,2048,131.33
16,4096,166.62
16,8192,243.98
16,16384,135.35
16,32768,241.74
16,65536,546.63
16,131072,1119.25
16,262144,2371.78
16,524288,5281.80
