Processes,Size,Latency
2,2,5.83
2,4,5.74
2,8,5.85
2,16,5.58
2,32,6.01
2,64,9.19
2,128,10.49
2,256,11.03
2,512,14.62
2,1024,17.75
2,2048,26.87
2,4096,46.42
2,8192,87.55
2,16384,218.95
2,32768,308.98
2,65536,590.65
2,131072,1234.07
2,262144,2347.86
2,524288,4599.95
2,1048576,10150.75
4,2,5.61
4,4,5.46
4,8,5.99
4,16,5.53
4,32,6.05
4,64,9.36
4,128,10.43
4,256,11.30
4,512,14.85
4,1024,17.52
4,2048,27.29
4,4096,46.62
4,8192,87.52
4,16384,222.73
4,32768,313.53
4,65536,597.43
4,131072,1166.02
4,262144,2326.25
4,524288,4567.29
4,1048576,10247.89
8,2,5.80
8,4,5.70
8,8,5.65
8,16,5.52
8,32,5.99
8,64,9.26
8,128,10.47
8,256,11.15
8,512,15.29
8,1024,17.76
8,2048,26.98
8,4096,47.18
8,8192,87.56
8,16384,229.35
8,32768,313.62
8,65536,593.31
8,131072,1173.65
8,262144,2306.77
8,524288,4629.08
8,1048576,10108.64
16,2,5.56
16,4,5.55
16,8,5.60
16,16,5.53
16,32,6.33
16,64,9.29
16,128,10.35
16,256,11.07
16,512,14.56
16,1024,17.82
16,2048,26.84
16,4096,46.70
16,8192,87.90
16,16384,221.24
16,32768,307.60
16,65536,592.28
16,131072,1159.73
16,262144,2335.91
16,524288,4568.51
16,1048576,10293.98
32,2,5.77
32,4,5.68
32,8,5.54
32,16,5.57
32,32,6.09
32,64,9.26
32,128,10.36
32,256,11.45
32,512,14.51
32,1024,18.15
32,2048,26.99
32,4096,46.55
32,8192,89.05
32,16384,227.47
32,32768,310.20
