Processes,Size,Latency
2,2,4.66
2,4,4.51
2,8,4.42
2,16,4.60
2,32,4.71
2,64,7.89
2,128,9.47
2,256,10.06
2,512,13.42
2,1024,16.26
2,2048,23.12
2,4096,44.81
2,8192,88.03
2,16384,175.61
2,32768,477.13
2,65536,481.13
2,131072,994.51
2,262144,2137.57
2,524288,4571.41
2,1048576,11808.33
4,2,4.64
4,4,4.54
4,8,4.47
4,16,4.52
4,32,4.68
4,64,7.88
4,128,9.50
4,256,10.13
4,512,13.61
4,1024,16.22
4,2048,23.25
4,4096,45.07
4,8192,88.61
4,16384,177.68
4,32768,476.47
4,65536,480.08
4,131072,984.36
4,262144,2140.21
4,524288,4693.39
4,1048576,11265.38
8,2,4.49
8,4,4.42
8,8,4.43
8,16,4.54
8,32,4.67
8,64,7.90
8,128,9.47
8,256,10.02
8,512,13.62
8,1024,16.17
8,2048,23.24
8,4096,45.21
8,8192,89.53
8,16384,175.35
8,32768,473.54
8,65536,477.23
8,131072,994.96
8,262144,2030.54
8,524288,4790.40
8,1048576,12585.68
16,2,4.46
16,4,4.65
16,8,4.55
16,16,4.57
16,32,4.58
16,64,7.82
16,128,9.56
16,256,10.28
16,512,13.72
16,1024,16.27
16,2048,23.50
16,4096,45.01
16,8192,88.32
16,16384,175.92
16,32768,476.48
16,65536,478.76
16,131072,990.05
16,262144,2131.11
16,524288,4911.80
16,1048576,11832.55
32,2,4.55
32,4,4.65
32,8,4.44
32,16,4.45
32,32,4.61
32,64,7.87
32,128,9.59
32,256,10.13
32,512,13.85
32,1024,16.15
32,2048,23.27
32,4096,45.29
32,8192,89.57
32,16384,174.81
32,32768,477.65
32,65536,481.80
32,131072,998.45
32,262144,2137.02
32,524288,4788.33
