Processes,Size,Latency
2,2,7.39
2,4,7.08
2,8,7.11
2,16,7.29
2,32,7.08
2,64,8.06
2,128,11.98
2,256,13.42
2,512,14.06
2,1024,18.07
2,2048,22.33
2,4096,33.84
2,8192,60.58
2,16384,122.38
2,32768,246.47
2,65536,489.54
2,131072,1006.22
2,262144,2265.92
2,524288,5071.56
2,1048576,8615.72
4,2,7.06
4,4,7.14
4,8,7.20
4,16,7.07
4,32,7.03
4,64,8.06
4,128,12.01
4,256,13.09
4,512,14.08
4,1024,18.01
4,2048,21.90
4,4096,33.37
4,8192,60.44
4,16384,121.47
4,32768,245.12
4,65536,492.84
4,131072,1002.57
4,262144,2260.84
4,524288,5261.63
4,1048576,8294.31
8,2,7.32
8,4,7.32
8,8,7.07
8,16,7.06
8,32,7.09
8,64,8.32
8,128,11.84
8,256,13.14
8,512,13.99
8,1024,18.16
8,2048,22.00
8,4096,33.86
8,8192,60.20
8,16384,121.62
8,32768,242.92
8,65536,496.16
8,131072,1008.64
8,262144,2284.41
8,524288,4913.60
8,1048576,8103.83
16,2,7.28
16,4,7.30
16,8,7.04
16,16,7.01
16,32,7.11
16,64,8.21
16,128,12.03
16,256,13.13
16,512,14.03
16,1024,18.21
16,2048,21.74
16,4096,34.41
16,8192,60.15
16,16384,120.60
16,32768,244.15
16,65536,497.57
16,131072,1001.08
16,262144,2275.62
16,524288,4989.64
16,1048576,8283.51
32,2,7.05
32,4,7.09
32,8,7.28
32,16,7.24
32,32,7.11
32,64,8.11
32,128,12.03
32,256,13.13
32,512,13.98
32,1024,17.97
32,2048,21.88
32,4096,34.06
32,8192,60.02
32,16384,121.71
32,32768,241.63
32,65536,501.41
32,131072,1020.30
32,262144,2266.87
