Processes,Size,Latency
2,2,
2,4,
2,8,
2,16,
2,32,
2,64,
2,128,
2,256,
2,512,
2,1024,
2,2048,
2,4096,
2,8192,
2,16384,
2,32768,
2,65536,
2,131072,
2,262144,
2,524288,
2,1048576,
4,2,
4,4,
4,8,
4,16,
4,32,
4,64,
4,128,
4,256,
4,512,
4,1024,
4,2048,
4,4096,
4,8192,
4,16384,
4,32768,
4,65536,
4,131072,
4,262144,
4,524288,
4,1048576,
8,2,
8,4,
8,8,
8,16,
8,32,
8,64,
8,128,
8,256,
8,512,
8,1024,
8,2048,
8,4096,
8,8192,
8,16384,
8,32768,
8,65536,
8,131072,
8,262144,
8,524288,
8,1048576,
16,2,
16,4,
16,8,
16,16,
16,32,
16,64,
16,128,
16,256,
16,512,
16,1024,
16,2048,
16,4096,
16,8192,
16,16384,
16,32768,
16,65536,
16,131072,
16,262144,
16,524288,
16,1048576,
32,2,
32,4,
32,8,
32,16,
32,32,
32,64,
32,128,
32,256,
32,512,
32,1024,
32,2048,
32,4096,
32,8192,
32,16384,
32,32768,
32,65536,
32,131072,
32,262144,
32,524288,
32,1048576,
64,2,
64,4,
64,8,
64,16,
64,32,
64,64,
64,128,
64,256,
64,512,
64,1024,
64,2048,
64,4096,
64,8192,
64,16384,
64,32768,
64,65536,
64,131072,
64,262144,
64,524288,
64,1048576,
128,2,
128,4,
128,8,
128,16,
128,32,
128,64,
128,128,
128,256,
128,512,
128,1024,
128,2048,
128,4096,
128,8192,
128,16384,
128,32768,
128,65536,
128,131072,
128,262144,
128,524288,
128,1048576,
256,2,
256,4,
256,8,
256,16,
256,32,
256,64,
256,128,
256,256,
256,512,
256,1024,
256,2048,
256,4096,
256,8192,
256,16384,
256,32768,
256,65536,
256,131072,
256,262144,
256,524288,
256,1048576,
