Processes,Size,Latency
2,2,12.83
2,4,12.52
2,8,12.76
2,16,12.42
2,32,12.72
2,64,14.65
2,128,15.03
2,256,14.86
2,512,17.18
2,1024,19.72
2,2048,24.17
2,4096,37.98
2,8192,70.57
2,16384,102.99
2,32768,291.03
2,65536,93.98
2,131072,192.99
2,262144,453.59
2,524288,1002.57
2,1048576,1621.85
4,2,13.00
4,4,12.52
4,8,12.68
4,16,12.75
4,32,12.69
4,64,14.75
4,128,15.61
4,256,15.79
4,512,17.53
4,1024,19.30
4,2048,24.09
4,4096,37.87
4,8192,69.30
4,16384,104.76
4,32768,284.95
4,65536,87.89
4,131072,198.89
4,262144,420.89
4,524288,993.59
4,1048576,1690.68
8,2,12.93
8,4,12.45
8,8,12.69
8,16,12.48
8,32,12.61
8,64,14.90
8,128,14.88
8,256,15.62
8,512,17.18
8,1024,18.82
8,2048,24.59
8,4096,37.47
8,8192,69.80
8,16384,104.73
8,32768,285.49
8,65536,93.80
8,131072,194.17
8,262144,396.70
8,524288,895.34
8,1048576,1569.61
16,2,12.91
16,4,12.52
16,8,12.94
16,16,12.67
16,32,13.18
16,64,14.82
16,128,15.22
16,256,15.38
16,512,17.10
16,1024,19.33
16,2048,24.13
16,4096,37.61
16,8192,70.52
16,16384,103.83
16,32768,292.05
16,65536,94.05
16,131072,188.08
16,262144,437.04
16,524288,1032.09
16,1048576,1727.46
32,2,12.49
32,4,12.51
32,8,12.67
32,16,12.64
32,32,12.62
32,64,14.88
32,128,14.85
32,256,15.19
32,512,17.45
32,1024,19.56
32,2048,24.22
32,4096,37.21
32,8192,69.53
32,16384,102.92
32,32768,283.75
32,65536,86.38
32,131072,196.69
32,262144,465.65
32,524288,934.33
32,1048576,1685.36
64,2,12.69
64,4,12.61
64,8,12.56
64,16,12.57
64,32,12.69
64,64,14.60
64,128,14.97
64,256,15.49
64,512,17.40
64,1024,19.04
64,2048,24.37
64,4096,37.34
64,8192,70.55
64,16384,105.28
64,32768,291.55
64,65536,94.56
64,131072,199.76
64,262144,423.62
64,524288,991.66
64,1048576,1689.88
128,2,12.87
128,4,12.56
128,8,12.85
128,16,12.49
128,32,12.58
128,64,14.70
128,128,14.98
128,256,15.55
128,512,17.50
128,1024,19.44
128,2048,23.91
128,4096,37.70
128,8192,69.39
128,16384,105.20
128,32768,286.72
128,65536,90.99
128,131072,198.65
128,262144,418.59
128,524288,1002.97
128,1048576,1574.38
256,2,12.80
256,4,12.50
256,8,12.80
256,16,12.67
256,32,12.61
256,64,14.81
256,128,14.79
256,256,15.17
256,512,16.88
256,1024,18.64
256,2048,24.02
256,4096,37.39
256,8192,69.94
256,16384,102.29
256,32768,280.87
256,65536,91.66
256,131072,197.25
256,262144,424.31
256,524288,881.03
256,1048576,1648.54
