Processes,Size,Latency
2,2,34.88
2,4,34.53
2,8,34.40
2,16,35.70
2,32,36.40
2,64,36.56
2,128,74.52
2,256,86.36
2,512,80.09
2,1024,85.46
2,2048,122.73
2,4096,162.07
2,8192,244.25
2,16384,466.37
2,32768,878.46
2,65536,1788.90
2,131072,3694.39
2,262144,7686.47
2,524288,16426.86
2,1048576,22893.19
4,2,33.83
4,4,34.57
4,8,35.16
4,16,35.12
4,32,36.33
4,64,36.06
4,128,74.10
4,256,77.47
4,512,80.49
4,1024,84.45
4,2048,122.61
4,4096,162.53
4,8192,244.39
4,16384,464.59
4,32768,884.93
4,65536,1790.32
4,131072,3702.17
4,262144,7503.41
4,524288,16765.33
4,1048576,
8,2,
8,4,
8,8,
8,16,
8,32,
8,64,
8,128,
8,256,
8,512,
8,1024,
8,2048,
8,4096,
8,8192,
8,16384,
8,32768,
8,65536,
8,131072,
8,262144,
8,524288,
8,1048576,
16,2,
16,4,
16,8,
16,16,
16,32,
16,64,
16,128,
16,256,
16,512,
16,1024,
16,2048,
16,4096,
16,8192,
16,16384,
16,32768,
16,65536,
16,131072,
16,262144,
16,524288,
16,1048576,
32,2,
32,4,
32,8,
32,16,
32,32,
32,64,
32,128,
32,256,
32,512,
32,1024,
32,2048,
32,4096,
32,8192,
32,16384,
32,32768,
32,65536,
32,131072,
32,262144,
32,524288,
32,1048576,
64,2,
64,4,
64,8,
64,16,
64,32,
64,64,
64,128,
64,256,
64,512,
64,1024,
64,2048,
64,4096,
64,8192,
64,16384,
64,32768,
64,65536,
64,131072,
64,262144,
64,524288,
64,1048576,
128,2,
128,4,
128,8,
128,16,
128,32,
128,64,
128,128,
128,256,
128,512,
128,1024,
128,2048,
128,4096,
128,8192,
128,16384,
128,32768,
128,65536,
128,131072,
128,262144,
128,524288,
128,1048576,
256,2,
256,4,
256,8,
256,16,
256,32,
256,64,
256,128,
256,256,
256,512,
256,1024,
256,2048,
256,4096,
256,8192,
256,16384,
256,32768,
256,65536,
256,131072,
256,262144,
256,524288,
256,1048576,
