Processes,Size,Latency
2,2,1.78
2,4,2.01
2,8,2.49
2,16,3.09
2,32,4.29
2,64,6.32
2,128,10.24
2,256,15.55
2,512,83.81
2,1024,92.79
2,2048,126.93
2,4096,165.82
2,8192,244.08
2,16384,127.29
2,32768,181.57
2,65536,329.79
2,131072,614.25
2,262144,1853.75
2,524288,4415.38
2,1048576,9398.92
4,2,1.76
4,4,2.05
4,8,2.59
4,16,3.24
4,32,4.24
4,64,6.30
4,128,10.26
4,256,15.61
4,512,84.26
4,1024,88.80
4,2048,124.97
4,4096,165.20
4,8192,243.92
4,16384,128.47
4,32768,188.18
4,65536,328.95
4,131072,610.96
4,262144,1856.33
4,524288,4416.26
4,1048576,9347.65
8,2,1.71
8,4,2.00
8,8,2.58
8,16,3.15
8,32,4.28
8,64,6.39
8,128,10.23
8,256,15.58
8,512,83.54
8,1024,93.02
8,2048,126.95
8,4096,165.27
8,8192,244.79
8,16384,125.84
8,32768,181.18
8,65536,330.72
8,131072,616.33
8,262144,1830.01
8,524288,4395.38
8,1048576,9515.32
16,2,1.72
16,4,2.04
16,8,2.43
16,16,3.16
16,32,4.26
16,64,6.34
16,128,10.27
16,256,15.59
16,512,83.45
16,1024,88.58
16,2048,126.99
16,4096,164.55
16,8192,244.75
16,16384,128.97
16,32768,182.83
16,65536,330.77
16,131072,599.28
16,262144,1834.20
16,524288,4379.82
16,1048576,9573.24
32,2,1.72
32,4,2.06
32,8,2.53
32,16,3.12
32,32,4.32
32,64,6.38
32,128,10.27
32,256,15.75
32,512,83.72
32,1024,93.18
32,2048,126.97
32,4096,165.39
32,8192,244.31
32,16384,129.06
32,32768,181.07
32,65536,328.60
32,131072,605.83
32,262144,1832.10
