Processes,Size,Latency
2,2,6.27
2,4,6.34
2,8,6.32
2,16,6.31
2,32,7.30
2,64,7.38
2,128,13.35
2,256,13.94
2,512,14.50
2,1024,18.68
2,2048,22.50
2,4096,31.66
2,8192,46.16
2,16384,35.27
2,32768,65.40
2,65536,128.79
2,131072,300.71
2,262144,600.11
2,524288,1108.12
2,1048576,2393.86
4,2,6.35
4,4,6.34
4,8,6.29
4,16,6.60
4,32,7.37
4,64,7.49
4,128,13.41
4,256,14.15
4,512,14.68
4,1024,19.01
4,2048,22.97
4,4096,31.85
4,8192,46.22
4,16384,34.90
4,32768,64.86
4,65536,128.61
4,131072,299.24
4,262144,602.19
4,524288,1223.06
4,1048576,2331.82
8,2,6.33
8,4,6.30
8,8,6.29
8,16,6.47
8,32,7.26
8,64,7.41
8,128,13.32
8,256,14.13
8,512,14.76
8,1024,18.79
8,2048,22.82
8,4096,32.07
8,8192,46.40
8,16384,33.98
8,32768,65.85
8,65536,129.74
8,131072,299.04
8,262144,602.15
8,524288,1129.71
8,1048576,2385.97
16,2,6.36
16,4,6.72
16,8,6.35
16,16,6.71
16,32,7.46
16,64,7.31
16,128,13.39
16,256,14.21
16,512,14.97
16,1024,18.95
16,2048,23.08
16,4096,32.00
16,8192,45.82
16,16384,34.27
16,32768,65.71
16,65536,128.91
16,131072,298.80
16,262144,602.04
16,524288,1097.67
16,1048576,2315.00
32,2,6.35
32,4,6.28
32,8,6.34
32,16,6.39
32,32,7.39
32,64,7.31
32,128,13.20
32,256,13.96
32,512,14.69
32,1024,18.76
32,2048,22.68
32,4096,31.34
32,8192,46.26
32,16384,34.65
32,32768,65.45
32,65536,128.59
32,131072,299.81
32,262144,603.21
32,524288,1216.13
32,1048576,2386.49
64,2,6.32
64,4,6.33
64,8,6.43
64,16,6.56
64,32,7.32
64,64,7.35
64,128,13.37
64,256,14.21
64,512,14.67
64,1024,18.84
64,2048,22.81
64,4096,31.42
64,8192,46.29
64,16384,33.88
64,32768,64.91
64,65536,129.00
64,131072,297.53
64,262144,604.01
64,524288,1213.94
64,1048576,2379.74
128,2,6.36
128,4,6.32
128,8,6.32
128,16,6.39
128,32,7.23
128,64,7.24
128,128,13.27
128,256,14.12
128,512,14.63
128,1024,18.77
128,2048,22.80
128,4096,31.67
128,8192,46.22
128,16384,35.11
128,32768,65.57
128,65536,129.14
128,131072,299.97
128,262144,598.57
128,524288,1217.57
128,1048576,2380.19
256,2,6.31
256,4,6.39
256,8,6.41
256,16,6.71
256,32,7.32
256,64,7.28
256,128,13.42
256,256,14.08
256,512,14.66
256,1024,18.91
256,2048,22.87
256,4096,31.43
256,8192,45.99
256,16384,34.52
256,32768,65.46
256,65536,129.16
256,131072,299.56
256,262144,605.88
256,524288,1215.03
256,1048576,2164.62
