Processes,Size,Latency
2,2,3.28
2,4,2.85
2,8,2.90
2,16,2.87
2,32,3.26
2,64,3.41
2,128,4.32
2,256,4.79
2,512,5.34
2,1024,6.37
2,2048,8.09
2,4096,12.37
2,8192,20.15
2,16384,44.84
2,32768,75.73
2,65536,141.17
2,131072,327.38
2,262144,657.52
2,524288,1231.95
2,1048576,2381.05
4,2,3.44
4,4,2.88
4,8,2.92
4,16,2.86
4,32,3.34
4,64,3.38
4,128,4.36
4,256,4.76
4,512,5.35
4,1024,6.35
4,2048,8.11
4,4096,12.54
4,8192,20.17
4,16384,45.04
4,32768,76.26
4,65536,141.20
4,131072,324.73
4,262144,630.29
4,524288,1252.63
4,1048576,2385.47
8,2,3.50
8,4,2.83
8,8,2.83
8,16,2.86
8,32,3.23
8,64,3.39
8,128,4.32
8,256,4.75
8,512,5.30
8,1024,6.40
8,2048,8.12
8,4096,12.35
8,8192,20.09
8,16384,44.90
8,32768,76.83
8,65536,138.88
8,131072,325.23
8,262144,627.12
8,524288,1236.90
8,1048576,2399.59
16,2,3.56
16,4,2.83
16,8,2.91
16,16,2.84
16,32,3.22
16,64,3.38
16,128,4.31
16,256,4.76
16,512,5.28
16,1024,6.36
16,2048,8.15
16,4096,12.45
16,8192,20.12
16,16384,44.62
16,32768,76.21
16,65536,144.10
16,131072,329.58
16,262144,630.42
16,524288,1245.20
16,1048576,2398.78
32,2,3.20
32,4,2.85
32,8,2.83
32,16,2.87
32,32,3.28
32,64,3.38
32,128,4.36
32,256,4.79
32,512,5.27
32,1024,6.35
32,2048,8.11
32,4096,12.54
32,8192,20.18
32,16384,44.61
32,32768,75.86
32,65536,141.43
32,131072,326.08
32,262144,634.07
32,524288,1232.93
32,1048576,2398.96
64,2,3.36
64,4,2.88
64,8,2.85
64,16,2.86
64,32,3.24
64,64,3.38
64,128,4.34
64,256,4.82
64,512,5.30
64,1024,6.37
64,2048,8.13
64,4096,12.43
64,8192,20.32
64,16384,44.77
64,32768,75.47
64,65536,142.43
64,131072,328.92
64,262144,633.61
64,524288,1243.75
64,1048576,2384.84
128,2,3.34
128,4,2.88
128,8,2.87
128,16,2.82
128,32,3.29
128,64,3.38
128,128,4.39
128,256,4.82
128,512,5.38
128,1024,6.41
128,2048,8.09
128,4096,12.40
128,8192,20.19
128,16384,44.32
128,32768,76.41
128,65536,140.53
128,131072,321.95
128,262144,633.90
128,524288,1240.94
128,1048576,2388.43
256,2,3.40
256,4,2.85
256,8,3.19
256,16,2.87
256,32,3.26
256,64,3.36
256,128,4.35
256,256,4.79
256,512,5.34
256,1024,6.38
256,2048,8.18
256,4096,12.40
256,8192,20.44
256,16384,44.82
256,32768,76.05
256,65536,146.09
256,131072,325.79
256,262144,633.43
256,524288,1245.10
256,1048576,2381.87
