Processes,Size,Latency
2,2,6.45
2,4,6.32
2,8,6.38
2,16,6.49
2,32,7.28
2,64,7.37
2,128,13.35
2,256,14.11
2,512,14.58
2,1024,18.83
2,2048,22.86
2,4096,31.85
2,8192,45.96
2,16384,34.74
2,32768,64.86
2,65536,129.86
2,131072,298.81
2,262144,609.23
2,524288,1110.70
2,1048576,2294.54
4,2,6.32
4,4,6.33
4,8,6.32
4,16,6.58
4,32,7.33
4,64,7.26
4,128,13.30
4,256,14.14
4,512,14.86
4,1024,18.99
4,2048,22.70
4,4096,31.22
4,8192,45.89
4,16384,36.51
4,32768,65.81
4,65536,130.54
4,131072,299.24
4,262144,603.17
4,524288,1218.55
4,1048576,2396.18
8,2,6.33
8,4,6.42
8,8,6.27
8,16,6.71
8,32,7.22
8,64,7.48
8,128,13.43
8,256,14.24
8,512,14.77
8,1024,18.90
8,2048,22.86
8,4096,31.70
8,8192,46.34
8,16384,33.89
8,32768,67.03
8,65536,130.36
8,131072,298.42
8,262144,599.58
8,524288,1217.51
8,1048576,2255.49
16,2,6.48
16,4,6.32
16,8,6.40
16,16,6.38
16,32,7.38
16,64,7.22
16,128,13.26
16,256,14.09
16,512,14.69
16,1024,18.76
16,2048,22.70
16,4096,32.34
16,8192,45.83
16,16384,34.35
16,32768,65.24
16,65536,130.05
16,131072,299.09
16,262144,606.46
16,524288,1118.59
16,1048576,2397.69
32,2,6.37
32,4,6.35
32,8,6.31
32,16,6.47
32,32,7.46
32,64,7.31
32,128,13.21
32,256,14.13
32,512,14.61
32,1024,18.76
32,2048,22.95
32,4096,32.27
32,8192,46.61
32,16384,34.38
32,32768,65.99
32,65536,129.78
32,131072,299.21
32,262144,602.08
32,524288,1201.43
32,1048576,2369.04
64,2,6.24
64,4,6.22
64,8,6.25
64,16,6.63
64,32,7.36
64,64,7.43
64,128,13.45
64,256,14.17
64,512,14.64
64,1024,18.81
64,2048,23.00
64,4096,31.89
64,8192,46.33
64,16384,33.70
64,32768,66.16
64,65536,128.83
64,131072,301.83
64,262144,597.22
64,524288,1195.19
64,1048576,2371.38
128,2,6.41
128,4,6.39
128,8,6.37
128,16,6.49
128,32,7.52
128,64,7.45
128,128,13.24
128,256,14.10
128,512,14.66
128,1024,19.04
128,2048,22.80
128,4096,31.21
128,8192,46.00
128,16384,34.64
128,32768,66.16
128,65536,128.00
128,131072,299.80
128,262144,603.52
128,524288,1212.39
128,1048576,2313.58
256,2,6.39
256,4,6.43
256,8,6.32
256,16,6.43
256,32,7.42
256,64,7.36
256,128,13.31
256,256,14.05
256,512,14.75
256,1024,18.88
256,2048,22.76
256,4096,31.93
256,8192,46.51
256,16384,33.80
256,32768,64.88
256,65536,128.59
256,131072,301.69
256,262144,606.21
256,524288,1221.34
256,1048576,2392.64
