Processes,Size,Latency
2,2,3.57
2,4,3.56
2,8,3.55
2,16,3.52
2,32,3.52
2,64,4.08
2,128,4.09
2,256,5.22
2,512,5.81
2,1024,6.21
2,2048,7.79
2,4096,10.25
2,8192,15.90
2,16384,26.19
2,32768,44.07
2,65536,78.86
2,131072,147.81
2,262144,291.62
2,524288,632.31
2,1048576,1235.31
4,2,3.54
4,4,3.62
4,8,3.57
4,16,3.55
4,32,3.55
4,64,4.09
4,128,4.09
4,256,5.01
4,512,5.82
4,1024,6.28
4,2048,7.77
4,4096,10.11
4,8192,15.64
4,16384,25.91
4,32768,44.16
4,65536,78.28
4,131072,147.79
4,262144,288.18
4,524288,629.44
4,1048576,1242.97
8,2,3.55
8,4,3.59
8,8,3.52
8,16,3.56
8,32,3.56
8,64,4.05
8,128,4.10
8,256,5.05
8,512,5.87
8,1024,6.29
8,2048,7.76
8,4096,10.19
8,8192,15.72
8,16384,26.34
8,32768,43.81
8,65536,78.77
8,131072,148.49
8,262144,286.92
8,524288,628.32
8,1048576,1238.93
16,2,3.57
16,4,3.59
16,8,3.53
16,16,3.55
16,32,3.55
16,64,4.08
16,128,4.07
16,256,5.01
16,512,5.76
16,1024,6.26
16,2048,7.76
16,4096,10.21
16,8192,15.72
16,16384,26.27
16,32768,43.71
16,65536,78.58
16,131072,149.16
16,262144,287.43
16,524288,639.20
16,1048576,1298.90
32,2,3.60
32,4,3.74
32,8,3.58
32,16,3.57
32,32,3.52
32,64,4.09
32,128,4.09
32,256,5.19
32,512,5.83
32,1024,6.27
32,2048,7.80
32,4096,10.24
32,8192,15.74
32,16384,26.25
32,32768,44.02
32,65536,78.87
32,131072,148.03
32,262144,287.14
32,524288,646.35
32,1048576,1252.90
64,2,3.62
64,4,3.53
64,8,3.53
64,16,3.49
64,32,3.52
64,64,4.08
64,128,4.11
64,256,5.12
64,512,5.76
64,1024,6.28
64,2048,7.81
64,4096,10.22
64,8192,15.83
64,16384,26.20
64,32768,43.61
64,65536,78.56
64,131072,148.06
64,262144,287.08
64,524288,637.41
64,1048576,1283.31
128,2,3.54
128,4,3.62
128,8,3.57
128,16,3.51
128,32,3.50
128,64,4.12
128,128,4.10
128,256,5.15
128,512,5.78
128,1024,6.36
128,2048,7.86
128,4096,10.21
128,8192,15.74
128,16384,26.38
128,32768,43.86
128,65536,78.80
128,131072,148.29
128,262144,286.87
128,524288,635.64
128,1048576,1245.57
256,2,3.58
256,4,3.53
256,8,3.58
256,16,3.55
256,32,3.54
256,64,4.04
256,128,4.17
256,256,5.08
256,512,5.86
256,1024,6.24
256,2048,7.80
256,4096,10.17
256,8192,15.79
256,16384,26.31
256,32768,43.78
256,65536,78.19
256,131072,148.41
256,262144,288.05
256,524288,640.24
256,1048576,1278.66
