Processes,Size,Latency
2,2,2.66
2,4,2.48
2,8,2.42
2,16,2.48
2,32,2.79
2,64,2.85
2,128,3.75
2,256,4.08
2,512,4.43
2,1024,5.87
2,2048,6.42
2,4096,8.85
2,8192,12.57
2,16384,20.86
2,32768,35.65
2,65536,63.66
2,131072,128.70
2,262144,255.04
2,524288,482.71
2,1048576,933.95
4,2,2.46
4,4,2.57
4,8,2.44
4,16,2.41
4,32,2.72
4,64,2.82
4,128,3.79
4,256,4.05
4,512,4.39
4,1024,5.78
4,2048,6.41
4,4096,8.86
4,8192,12.94
4,16384,20.80
4,32768,36.17
4,65536,64.70
4,131072,129.58
4,262144,262.42
4,524288,498.09
4,1048576,927.49
8,2,2.65
8,4,2.44
8,8,2.39
8,16,2.46
8,32,2.77
8,64,2.83
8,128,3.78
8,256,4.05
8,512,4.42
8,1024,5.84
8,2048,6.37
8,4096,8.90
8,8192,12.56
8,16384,20.78
8,32768,35.49
8,65536,63.68
8,131072,130.04
8,262144,257.79
8,524288,500.61
8,1048576,927.05
16,2,2.43
16,4,2.42
16,8,2.49
16,16,2.47
16,32,2.76
16,64,2.91
16,128,3.73
16,256,4.02
16,512,4.42
16,1024,5.80
16,2048,6.37
16,4096,9.08
16,8192,12.55
16,16384,20.88
16,32768,35.49
16,65536,64.49
16,131072,130.80
16,262144,257.18
16,524288,502.41
16,1048576,903.07
32,2,2.83
32,4,2.44
32,8,2.46
32,16,2.46
32,32,2.72
32,64,2.88
32,128,3.76
32,256,4.02
32,512,4.43
32,1024,5.88
32,2048,6.40
32,4096,8.89
32,8192,12.55
32,16384,20.83
32,32768,35.19
32,65536,62.05
32,131072,130.82
32,262144,248.80
32,524288,464.50
32,1048576,875.67
64,2,2.59
64,4,2.44
64,8,2.46
64,16,2.42
64,32,2.78
64,64,2.92
64,128,3.75
64,256,4.10
64,512,4.41
64,1024,5.80
64,2048,6.40
64,4096,8.86
64,8192,12.94
64,16384,20.78
64,32768,36.10
64,65536,65.02
64,131072,126.85
64,262144,257.96
64,524288,508.82
64,1048576,899.73
128,2,2.45
128,4,2.57
128,8,2.49
128,16,2.42
128,32,2.74
128,64,2.88
128,128,3.70
128,256,4.04
128,512,4.41
128,1024,5.78
128,2048,6.41
128,4096,8.90
128,8192,12.65
128,16384,20.91
128,32768,35.33
128,65536,64.07
128,131072,130.62
128,262144,260.38
128,524288,503.19
128,1048576,910.82
256,2,2.46
256,4,2.44
256,8,2.45
256,16,2.45
256,32,2.73
256,64,2.85
256,128,3.75
256,256,4.06
256,512,4.43
256,1024,5.82
256,2048,6.42
256,4096,8.83
256,8192,12.71
256,16384,20.83
256,32768,35.32
256,65536,64.16
256,131072,130.51
256,262144,254.85
256,524288,475.85
256,1048576,891.76
