Processes,Size,Latency
2,2,2.54
2,4,2.55
2,8,2.56
2,16,2.50
2,32,2.71
2,64,3.00
2,128,3.39
2,256,3.69
2,512,4.07
2,1024,5.31
2,2048,6.42
2,4096,9.22
2,8192,13.45
2,16384,21.06
2,32768,34.24
2,65536,64.45
2,131072,129.62
2,262144,254.29
2,524288,502.05
2,1048576,904.40
4,2,2.54
4,4,2.68
4,8,2.54
4,16,2.54
4,32,2.74
4,64,2.98
4,128,3.34
4,256,3.72
4,512,4.07
4,1024,5.19
4,2048,6.41
4,4096,9.33
4,8192,13.02
4,16384,21.07
4,32768,35.16
4,65536,63.41
4,131072,128.28
4,262144,254.51
4,524288,469.78
4,1048576,906.47
8,2,2.58
8,4,2.54
8,8,2.53
8,16,2.51
8,32,2.71
8,64,2.97
8,128,3.36
8,256,3.77
8,512,4.10
8,1024,5.18
8,2048,6.44
8,4096,9.32
8,8192,12.99
8,16384,21.26
8,32768,35.89
8,65536,63.25
8,131072,128.26
8,262144,223.48
8,524288,506.87
8,1048576,870.20
16,2,2.53
16,4,2.55
16,8,2.51
16,16,2.53
16,32,2.67
16,64,3.02
16,128,3.36
16,256,3.70
16,512,4.04
16,1024,5.10
16,2048,6.49
16,4096,9.37
16,8192,13.21
16,16384,22.01
16,32768,35.11
16,65536,63.25
16,131072,128.90
16,262144,255.35
16,524288,497.26
16,1048576,906.84
32,2,2.53
32,4,2.67
32,8,2.54
32,16,2.52
32,32,2.70
32,64,3.47
32,128,3.36
32,256,3.74
32,512,4.06
32,1024,5.25
32,2048,6.48
32,4096,9.34
32,8192,13.16
32,16384,21.04
32,32768,34.97
32,65536,64.26
32,131072,130.58
32,262144,253.11
32,524288,508.59
32,1048576,887.51
64,2,2.54
64,4,2.65
64,8,2.55
64,16,2.53
64,32,2.67
64,64,2.95
64,128,3.38
64,256,3.71
64,512,4.05
64,1024,5.06
64,2048,6.51
64,4096,9.27
64,8192,13.07
64,16384,21.36
64,32768,34.88
64,65536,63.93
64,131072,128.73
64,262144,257.08
64,524288,481.19
64,1048576,923.46
128,2,2.56
128,4,2.74
128,8,2.54
128,16,2.49
128,32,2.74
128,64,2.98
128,128,3.37
128,256,3.76
128,512,4.07
128,1024,5.25
128,2048,6.50
128,4096,9.23
128,8192,13.09
128,16384,21.22
128,32768,35.07
128,65536,66.61
128,131072,129.24
128,262144,253.86
128,524288,494.73
128,1048576,884.24
256,2,2.57
256,4,2.70
256,8,2.60
256,16,2.50
256,32,2.68
256,64,2.95
256,128,3.44
256,256,3.71
256,512,4.06
256,1024,5.19
256,2048,6.46
256,4096,9.44
256,8192,13.01
256,16384,21.17
256,32768,35.06
256,65536,65.21
256,131072,130.75
256,262144,255.78
256,524288,493.29
256,1048576,870.08
