Processes,Size,Latency
2,2,6.69
2,4,6.66
2,8,6.60
2,16,6.79
2,32,7.96
2,64,7.59
2,128,13.19
2,256,14.15
2,512,15.67
2,1024,19.48
2,2048,23.64
2,4096,32.57
2,8192,47.73
2,16384,89.73
2,32768,182.79
2,65536,360.71
2,131072,781.11
2,262144,671.55
2,524288,1288.16
2,1048576,4210.36
4,2,6.76
4,4,6.62
4,8,6.69
4,16,6.70
4,32,7.82
4,64,7.90
4,128,13.13
4,256,14.11
4,512,15.57
4,1024,19.36
4,2048,23.43
4,4096,32.11
4,8192,47.98
4,16384,90.61
4,32768,183.57
4,65536,362.16
4,131072,779.26
4,262144,670.60
4,524288,1291.87
4,1048576,4284.14
8,2,6.66
8,4,6.69
8,8,6.57
8,16,6.85
8,32,7.83
8,64,7.75
8,128,13.15
8,256,14.13
8,512,15.70
8,1024,19.29
8,2048,23.47
8,4096,32.07
8,8192,47.32
8,16384,90.33
8,32768,183.14
8,65536,362.31
8,131072,779.54
8,262144,670.73
8,524288,1300.50
8,1048576,4370.39
16,2,6.77
16,4,6.70
16,8,6.63
16,16,6.87
16,32,7.76
16,64,7.77
16,128,13.09
16,256,14.07
16,512,15.52
16,1024,18.91
16,2048,23.92
16,4096,31.95
16,8192,47.62
16,16384,89.41
16,32768,185.63
16,65536,360.58
16,131072,778.58
16,262144,675.19
16,524288,1289.46
16,1048576,4375.14
32,2,6.79
32,4,6.70
32,8,6.67
32,16,6.85
32,32,7.84
32,64,7.81
32,128,13.16
32,256,14.16
32,512,15.74
32,1024,19.42
32,2048,23.57
32,4096,31.91
32,8192,47.21
32,16384,89.54
32,32768,182.80
32,65536,361.42
32,131072,779.17
32,262144,675.70
32,524288,1285.97
32,1048576,4280.46
64,2,6.64
64,4,6.70
64,8,6.56
64,16,6.75
64,32,8.09
64,64,7.78
64,128,13.21
64,256,14.18
64,512,15.60
64,1024,19.39
64,2048,23.52
64,4096,31.60
64,8192,47.13
64,16384,90.28
64,32768,183.51
64,65536,360.64
64,131072,780.75
64,262144,673.93
64,524288,1283.48
64,1048576,4175.10
128,2,6.66
128,4,6.74
128,8,6.72
128,16,6.72
128,32,7.83
128,64,8.13
128,128,13.22
128,256,14.15
128,512,15.60
128,1024,19.30
128,2048,23.61
128,4096,31.90
128,8192,47.46
128,16384,90.21
128,32768,182.67
128,65536,359.62
128,131072,780.20
128,262144,670.00
128,524288,1295.65
128,1048576,4249.08
256,2,6.68
256,4,6.74
256,8,6.63
256,16,6.76
256,32,7.76
256,64,7.73
256,128,13.16
256,256,14.06
256,512,15.49
256,1024,19.24
256,2048,23.51
256,4096,31.91
256,8192,47.34
256,16384,90.82
256,32768,185.46
256,65536,360.65
256,131072,780.60
256,262144,670.88
256,524288,1302.30
256,1048576,4340.14
