Processes,Size,Latency
2,2,2.03
2,4,2.21
2,8,2.45
2,16,2.86
2,32,3.26
2,64,3.77
2,128,4.87
2,256,6.40
2,512,8.91
2,1024,13.32
2,2048,22.40
2,4096,36.38
2,8192,64.54
2,16384,125.77
2,32768,243.31
2,65536,486.21
2,131072,1044.43
2,262144,2127.76
2,524288,4479.01
2,1048576,10139.27
4,2,2.05
4,4,2.37
4,8,2.45
4,16,2.80
4,32,3.17
4,64,3.81
4,128,4.81
4,256,6.47
4,512,8.94
4,1024,13.26
4,2048,21.16
4,4096,37.86
4,8192,65.05
4,16384,128.09
4,32768,239.73
4,65536,513.57
4,131072,1008.55
4,262144,2118.81
4,524288,4561.77
4,1048576,10604.74
8,2,2.03
8,4,2.28
8,8,2.48
8,16,2.77
8,32,3.18
8,64,3.64
8,128,4.87
8,256,6.48
8,512,9.02
8,1024,13.22
8,2048,21.22
8,4096,36.12
8,8192,64.43
8,16384,128.16
8,32768,229.67
8,65536,488.08
8,131072,1012.09
8,262144,2096.43
8,524288,4538.93
8,1048576,10086.14
16,2,2.02
16,4,2.28
16,8,2.45
16,16,2.79
16,32,3.16
16,64,3.74
16,128,4.95
16,256,6.30
16,512,8.94
16,1024,13.29
16,2048,21.49
16,4096,36.34
16,8192,64.40
16,16384,126.66
16,32768,244.22
16,65536,491.02
16,131072,1043.88
16,262144,2130.49
16,524288,4432.64
16,1048576,10113.31
32,2,2.00
32,4,2.21
32,8,2.49
32,16,2.72
32,32,3.17
32,64,3.72
32,128,4.92
32,256,6.41
32,512,9.00
32,1024,13.21
32,2048,20.88
32,4096,36.13
32,8192,64.62
32,16384,127.95
32,32768,228.46
32,65536,486.00
32,131072,1020.93
32,262144,2069.11
32,524288,4458.98
32,1048576,10254.29
64,2,2.08
64,4,2.23
64,8,2.60
64,16,2.81
64,32,3.16
64,64,3.75
64,128,4.85
64,256,6.43
64,512,8.93
64,1024,13.27
64,2048,21.10
64,4096,35.97
64,8192,64.77
64,16384,128.05
64,32768,229.20
64,65536,532.03
64,131072,1027.11
64,262144,2086.17
64,524288,4530.70
64,1048576,10187.97
128,2,2.48
128,4,2.34
128,8,2.48
128,16,2.74
128,32,3.15
128,64,3.72
128,128,4.90
128,256,6.47
128,512,9.27
128,1024,13.26
128,2048,21.11
128,4096,38.21
128,8192,64.85
128,16384,125.96
128,32768,230.58
128,65536,496.24
128,131072,1031.04
128,262144,2070.61
128,524288,4475.26
128,1048576,10308.99
256,2,2.02
256,4,2.31
256,8,2.47
256,16,2.83
256,32,3.21
256,64,3.81
256,128,4.80
256,256,6.25
256,512,8.98
256,1024,13.21
256,2048,21.26
256,4096,36.33
256,8192,64.67
256,16384,127.06
256,32768,243.61
256,65536,505.03
256,131072,1007.85
256,262144,2066.06
