Processes,Size,Latency
2,2,2.09
2,4,2.51
2,8,2.50
2,16,2.77
2,32,3.24
2,64,3.74
2,128,4.83
2,256,6.44
2,512,15.43
2,1024,19.18
2,2048,23.41
2,4096,32.54
2,8192,64.46
2,16384,33.03
2,32768,63.20
2,65536,122.60
2,131072,225.88
2,262144,402.53
2,524288,762.52
2,1048576,1697.79
4,2,2.02
4,4,2.39
4,8,2.49
4,16,2.79
4,32,3.15
4,64,3.72
4,128,4.87
4,256,6.28
4,512,15.52
4,1024,19.13
4,2048,23.58
4,4096,32.16
4,8192,65.12
4,16384,33.17
4,32768,64.34
4,65536,128.51
4,131072,228.08
4,262144,425.85
4,524288,781.77
4,1048576,1675.07
8,2,2.24
8,4,2.21
8,8,2.45
8,16,2.77
8,32,3.26
8,64,3.69
8,128,4.81
8,256,6.45
8,512,15.27
8,1024,19.15
8,2048,23.54
8,4096,32.26
8,8192,65.16
8,16384,32.76
8,32768,63.32
8,65536,101.41
8,131072,225.73
8,262144,417.11
8,524288,787.64
8,1048576,1673.23
16,2,2.13
16,4,2.40
16,8,2.64
16,16,2.83
16,32,3.22
16,64,3.69
16,128,4.85
16,256,6.36
16,512,15.43
16,1024,19.07
16,2048,23.67
16,4096,32.01
16,8192,64.91
16,16384,32.68
16,32768,53.54
16,65536,103.96
16,131072,230.67
16,262144,422.36
16,524288,785.95
16,1048576,1672.38
32,2,2.02
32,4,2.17
32,8,2.51
32,16,2.78
32,32,3.20
32,64,3.72
32,128,4.77
32,256,6.40
32,512,15.42
32,1024,19.19
32,2048,23.80
32,4096,32.29
32,8192,65.15
32,16384,32.43
32,32768,64.44
32,65536,105.32
32,131072,222.66
32,262144,426.10
32,524288,783.91
32,1048576,1699.34
64,2,2.02
64,4,2.36
64,8,2.42
64,16,2.78
64,32,3.15
64,64,3.72
64,128,4.84
64,256,6.49
64,512,15.41
64,1024,19.28
64,2048,23.67
64,4096,32.29
64,8192,64.65
64,16384,32.57
64,32768,63.20
64,65536,108.46
64,131072,226.27
64,262144,426.28
64,524288,782.25
64,1048576,1678.32
128,2,2.00
128,4,2.30
128,8,2.51
128,16,2.82
128,32,3.24
128,64,3.73
128,128,4.83
128,256,6.36
128,512,15.58
128,1024,19.14
128,2048,23.70
128,4096,32.22
128,8192,65.11
128,16384,32.08
128,32768,63.95
128,65536,121.74
128,131072,222.00
128,262144,422.05
128,524288,785.34
128,1048576,1680.01
256,2,2.00
256,4,2.39
256,8,2.47
256,16,2.82
256,32,3.19
256,64,3.76
256,128,4.82
256,256,6.42
256,512,15.46
256,1024,19.21
256,2048,23.67
256,4096,32.30
256,8192,64.48
256,16384,34.55
256,32768,63.00
256,65536,105.08
256,131072,231.69
256,262144,397.64
256,524288,776.71
256,1048576,1696.51
