Processes,Size,Latency
2,2,6.43
2,4,6.45
2,8,6.35
2,16,6.50
2,32,7.35
2,64,7.32
2,128,13.30
2,256,14.05
2,512,15.68
2,1024,19.34
2,2048,23.46
2,4096,31.94
2,8192,47.66
2,16384,33.30
2,32768,55.31
2,65536,100.82
2,131072,227.81
2,262144,421.87
2,524288,795.10
2,1048576,1681.22
4,2,6.45
4,4,6.25
4,8,6.33
4,16,6.34
4,32,7.37
4,64,7.23
4,128,13.23
4,256,14.04
4,512,15.44
4,1024,19.19
4,2048,23.41
4,4096,31.84
4,8192,47.08
4,16384,33.56
4,32768,53.13
4,65536,123.50
4,131072,224.75
4,262144,425.25
4,524288,784.84
4,1048576,1697.23
8,2,6.43
8,4,6.37
8,8,6.33
8,16,6.47
8,32,7.37
8,64,7.28
8,128,13.31
8,256,14.08
8,512,15.54
8,1024,19.39
8,2048,23.42
8,4096,31.97
8,8192,47.92
8,16384,30.83
8,32768,54.80
8,65536,107.56
8,131072,223.82
8,262144,429.30
8,524288,785.01
8,1048576,1683.87
16,2,6.43
16,4,6.44
16,8,6.33
16,16,6.31
16,32,7.31
16,64,7.32
16,128,13.32
16,256,14.12
16,512,15.58
16,1024,19.42
16,2048,23.65
16,4096,31.79
16,8192,47.53
16,16384,31.05
16,32768,58.09
16,65536,118.48
16,131072,229.26
16,262144,426.45
16,524288,782.16
16,1048576,1691.99
32,2,6.32
32,4,6.40
32,8,6.27
32,16,6.70
32,32,7.24
32,64,7.32
32,128,13.27
32,256,14.05
32,512,15.56
32,1024,19.38
32,2048,23.65
32,4096,31.99
32,8192,47.59
32,16384,34.04
32,32768,58.68
32,65536,128.22
32,131072,228.65
32,262144,403.44
32,524288,760.66
32,1048576,1694.90
64,2,6.41
64,4,6.31
64,8,6.36
64,16,6.49
64,32,7.35
64,64,7.29
64,128,13.22
64,256,14.02
64,512,15.38
64,1024,19.42
64,2048,23.45
64,4096,31.78
64,8192,47.92
64,16384,32.89
64,32768,54.53
64,65536,101.73
64,131072,226.66
64,262144,424.82
64,524288,759.89
64,1048576,1694.32
128,2,6.49
128,4,6.40
128,8,6.27
128,16,6.52
128,32,7.28
128,64,7.22
128,128,13.29
128,256,13.99
128,512,15.43
128,1024,19.36
128,2048,23.62
128,4096,32.08
128,8192,47.84
128,16384,34.29
128,32768,53.52
128,65536,128.81
128,131072,222.96
128,262144,424.69
128,524288,781.67
128,1048576,1701.43
256,2,6.42
256,4,6.38
256,8,6.31
256,16,6.46
256,32,7.38
256,64,7.23
256,128,13.23
256,256,14.10
256,512,15.57
256,1024,19.26
256,2048,23.47
256,4096,31.92
256,8192,47.43
256,16384,32.70
256,32768,52.91
256,65536,132.07
256,131072,221.34
256,262144,428.93
256,524288,785.29
256,1048576,1672.59
